seed,lowsec
30001369,30000113
30001361,30003884
30000197,30001435
30000196,30002270
30000194,30004106
30000193,30002541
30000190,30003606
30000189,30003079
30000017,30003907
30000041,30003471
30000055,30003072
30000072,30005020
30000074,30002770
30000165,30003071
30000167,30005210
30000168,30005084
30000171,30045314
30000175,30002579
30000178,30003474
30000182,30004140
30000192,30002767
30000903,30003466
30000905,30003460
30001362,30001385
30001380,30000203
30001399,30002561
30001402,30005297
30001406,30005320
30001481,30005083
30001670,30002417
30001673,30005233
30001681,30001388
30001695,30004104
30001696,30005196
30001698,30003070
30002058,30001681
30002059,30001390
30002067,30045343
30002263,30000037
30002267,30000111
30002269,30003886
30002270,30004996
30002271,30005003
30002413,30000038
30002534,30000036
30002574,30002651
30002575,30003892
30002578,30000074
30002668,30002216
30002670,30003556
30002671,30003499
30002672,30004986
30002694,30002577
30002696,30000073
30002706,30005228
30002707,30005207
30002724,30004988
30002725,30003827
30002732,30045334
30002736,30001719
30002768,30000118
30002788,30000105
30002790,30003467
30002791,30002686
30002996,30002653
30003048,30005226
30003052,30005012
30003054,30002056
30003055,30005035
30003066,30001661
30003067,30002741
30003068,30002515
30003073,30002647
30003281,30002537
30003283,30003584
30003329,30001402
30003333,30002645
30003368,30000162
30003371,30003069
30003375,30003530
30003380,30005224
30003389,30005077
30003390,30000099
30003392,30005208
30003394,30000013
30003402,30003573
30003404,30005225
30003409,30005195
30003423,30002555
30003427,30002536
30003467,30003905
30003469,30045342
30003482,30002702
30003485,30004117
30003533,30003093
30003568,30003843
30003572,30001398
30003577,30002654
30003798,30002742
30003800,30002769
30003805,30002981
30003863,30005087
30004081,30003544
30004082,30002693
30004104,30003425
30004106,30004992
30004155,30003916
30004273,30002246
30004275,30004978
30004281,30005251
30004502,30000062
30004504,30003463
30004979,30001433
30004981,30003476
30005009,30005070
30005010,30002795
30005037,30002696
30005038,30001373
30005041,30005078
30005084,30003064
30005197,30002652
30005290,30004116
30005304,30005252
30005310,30002215
30045314,30004268
30001958,30001666
30001952,30005081
30001939,30005209
30001932,30002650
30001902,30000011
30001896,30000202
30001894,30005231
30001881,30003893
30001858,30004089
30001855,30005222
30001854,30005197
30001840,30002252
30001641,30005009
30001640,30003542
30001611,30002634
30001599,30002074
30001501,30001383
30001500,30002793
30001469,30000112
30001290,30001444
30000009,30002051
30000056,30003076
30001385,30002684
30001489,30002271
30001503,30005221
30001525,30002202
30001613,30001384
30001626,30003461
30001627,30004975
30001638,30004252
30001699,30003908
30001978,30005330
30002077,30004295
30002089,30000042
30002187,30003895
30002398,30000107
30002563,30002213
30002564,30000201
30002759,30002055
30002980,30003084
30002992,30005227
30003275,30002578
30003321,30002771
30003339,30002683
30003344,30002073
30003378,30000050
30003432,30003537
30003466,30004250
30003470,30002968
30003472,30002513
30003475,30005294
30003480,30002704
30003859,30000172
30004147,30002201
30004157,30003555
30004160,30001419
30005008,30005194
30005034,30005267
30005085,30004077
30005269,30002254
30001407,30000171
30001389,30003075
30001392,30002694
30000195,30002557
30000188,30004087
30001672,30000184
30004254,30003073
30004306,30003539
30005236,30004129
30005244,30003798
30005050,30005216
30004142,30003094
30002715,30001680
30003040,30001400
30002650,30002797
30005019,30000109
30002423,30002817
30005042,30004110
30005275,30005291
30001724,30045326
30002993,30005248
30001715,30000048
30004267,30005223
30005258,30001712
30003489,30002214
30003473,30004107
30001718,30000206
30004277,30000190
30001733,30001382
30005063,30045321
30000141,30005059
30001366,30002999
30002755,30003426
30001411,30003008
30004971,30002275
30002685,30004123
30003017,30002687
30003570,30005232
30005297,30002384
30003850,30005205
30004991,30004248
30002718,30003909
30005305,30002690
30003039,30005076
30003787,30000101
30002634,
30002648,
30002547,
30002520,
30002393,
30002562,
30002051,
30002533,
30003408,
30002505,
30003377,
30003456,
30002092,
30002531,
30003468,
30002560,
30003441,
30002068,
30003410,
30003453,
30003416,
30002527,
30001479,
30001482,
30011407,
30021407,
30031407,
30041407,
30011392,
30021392,
30031392,
30041392,
30011672,
30021672,
30031672,
30041672,
30012715,
30022715,
30032715,
30042715,
30015042,
30025042,
30035042,
30045042,
30013489,
30023489,
30033489,
30043489,
30010141,
30020141,
30030141,
30040141,
30014971,
30024971,
30034971,
30044971,
30015305,
30025305,
30035305,
30045305,
30012547,
30022547,
30032547,
30042547,
30012505,
30022505,
30032505,
30042505,
30013410,
30023410,
30033410,
30043410,
30005015,
30003524,
30001722,
30003388,
30002518,
30045324,
30045329,
30045308,
30005318,
30005312,
30005308,
30005300,
30005292,
30005291,
30005289,
30005271,
30005254,
30005252,
30005251,
30005250,
30005248,
30005247,
30005245,
30005227,
30005225,
30005221,
30005219,
30005217,
30005214,
30005082,
30005044,
30005035,
30005032,
30005030,
30005024,
30005020,
30005018,
30004993,
30004978,
30004976,
30004295,
30004293,
30004291,
30004289,
30004282,
30004245,
30004244,
30004128,
30004101,
30004096,
30004094,
30004092,
30004091,
30003836,
30003821,
30003803,
30003594,
30003575,
30003573,
30003571,
30003563,
30003562,
30003559,
30003556,
30003554,
30003552,
30003550,
30003547,
30003545,
30003510,
30003509,
30003490,
30003471,
30003449,
30003447,
30003433,
30003429,
30003428,
30003414,
30003411,
30003397,
30003396,
30003332,
30003298,
30003295,
30003060,
30003030,
30003029,
30003027,
30003025,
30003024,
30002997,
30002988,
30002986,
30002984,
30002973,
30002970,
30002967,
30002965,
30002777,
30002772,
30002753,
30002749,
30002719,
30002688,
30002686,
30002679,
30002677,
30002676,
30002673,
30002645,
30002643,
30002642,
30002577,
30002571,
30002569,
30002568,
30002566,
30002559,
30002535,
30002532,
30002513,
30002415,
30002389,
30002252,
30002245,
30002244,
30002203,
30002202,
30002198,
30002197,
30002053,
30002050,
30001735,
30001734,
30001732,
30001730,
30001678,
30001677,
30001676,
30001666,
30001663,
30001662,
30001649,
30001645,
30001440,
30001414,
30001412,
30001410,
30000164,
30000160,
30000159,
30000147,
30000145,
30000135,
30005317,
30005294,
30005228,
30005033,
30005022,
30005011,
30004995,
30004973,
30004302,
30004114,
30004097,
30003598,
30003560,
30003426,
30003415,
30003376,
30003334,
30003293,
30003094,
30003053,
30002966,
30002964,
30002770,
30002681,
30002558,
30002383,
30002247,
30002234,
30001737,
30001736,
30001729,
30001683,
30001421,
30000151,
30000138,
30000130,
